name;age;position;minutes_played;nationality;goals;assists;conceded;overall;attack;defense;club
Leon Balogun;31;Defender;591;Nigeria;1;0;9;39;53;56;Brighton & Hove Albion
Diego Rico;26;Defender;607;Spain;0;0;18;39;53;54;AFC Bournemouth
Serge Aurier;26;Defender;564;Ivory Coast;0;2;9;39;54;56;Tottenham Hotspur
Joel Ward;29;Defender;551;England;1;0;12;39;53;55;Crystal Palace
Christian Benteke;28;Forward;813;Belgium;1;1;10;38;56;39;Crystal Palace
Michy Batshuayi;26;Forward;756;Belgium;5;0;11;38;58;38;Crystal Palace
Sean Longstaff;22;Midfielder;688;England;1;0;8;38;54;47;Newcastle United
Petr Čech;37;Goalkeeper;585;Czech Republic;0;0;8;38;52;51;Arsenal
Marcus Bettinelli;27;Goalkeeper;630;England;0;0;19;38;53;49;Fulham
Morgan Gibbs-White;19;Midfielder;647;England;0;1;9;38;54;47;Wolverhampton Wanderers
Kevin Long;29;Defender;513;Republic of Ireland;0;1;7;38;53;55;Burnley
Jose Izquierdo;27;Forward;794;Colombia;0;1;8;37;54;39;Brighton & Hove Albion
Andreas Pereira;23;Midfielder;595;Brazil;1;1;10;37;54;46;Manchester United
Grady Diangana;21;Midfielder;604;England;0;1;11;37;54;46;West Ham United
Daniel Amartey;24;Midfielder;640;Ghana;0;0;9;37;53;47;Leicester City
Hamza Choudhury;22;Midfielder;596;England;0;0;4;37;52;47;Leicester City
Antonio Valencia;34;Defender;466;Ecuador;0;0;5;37;52;55;Manchester United
Matteo Darmian;29;Defender;443;Italy;0;0;7;37;52;54;Manchester United
Kyle Walker-Peters;22;Defender;374;England;0;3;4;37;54;54;Tottenham Hotspur
Kenneth Dahrup Zohorè;25;Forward;746;Denmark;1;1;15;36;55;37;Cardiff City
Rachid Ghezzal;27;Forward;738;Algeria;1;0;12;36;54;37;Leicester City
Fernando Llorente Torres;34;Forward;683;Spain;1;4;8;36;58;37;Tottenham Hotspur
Ivan Ricardo Neves Abreu Cavaleiro;26;Forward;683;Portugal;3;1;10;36;57;37;Wolverhampton Wanderers
Aboubakar Kamara;24;Forward;687;France;3;0;16;36;56;36;Fulham
Ben Hamer;31;Goalkeeper;553;England;0;0;20;36;52;48;Huddersfield Town
Mason Holgate;23;Defender;407;England;0;0;9;36;52;53;Everton
Caglar Söyüncü;23;Defender;371;Turkey;0;0;3;36;51;54;Leicester City
Leighton Baines;34;Defender;376;England;0;0;6;36;51;54;Everton
Jack Simpson;22;Defender;403;England;0;0;9;36;52;53;AFC Bournemouth
Victor Wanyama;28;Midfielder;509;Kenya;1;0;3;35;53;46;Tottenham Hotspur
Leandro Bacuna;28;Midfielder;554;Curaçao;0;0;11;35;52;45;Cardiff City
Moussa Dembele;32;Midfielder;516;Belgium;0;0;5;35;52;46;Tottenham Hotspur
Tom Cleverley;30;Midfielder;470;England;1;0;7;35;53;45;Watford
Alberto Moreno;27;Defender;155;Spain;0;0;2;32;50;51;Liverpool
Phil Jagielka;37;Defender;329;England;1;0;2;35;52;54;Everton
Ademola Lookman;22;Forward;601;England;0;2;7;34;55;36;Everton
Floyd Ayité;30;Midfielder;465;Togo;1;0;13;34;53;43;Fulham
Steven Defour;31;Midfielder;452;Belgium;0;0;12;34;52;43;Burnley
David Button;30;Goalkeeper;360;England;0;0;5;34;51;49;Brighton & Hove Albion
Danny Simpson;32;Defender;291;England;0;0;4;34;51;53;Leicester City
Joselu;29;Forward;586;Spain;2;0;12;33;54;35;Newcastle United
Adam Lallana;31;Midfielder;465;England;0;0;2;35;52;46;Liverpool
Rajiv van La Parra;28;Midfielder;407;Netherlands;0;0;6;33;52;44;Huddersfield Town
Stefan Marius Johansen;28;Midfielder;412;Norway;0;0;11;33;52;43;Fulham
Callum Hudson-Odoi;18;Midfielder;391;England;0;1;5;33;52;44;Chelsea
Kadeem Harris;26;Midfielder;366;England;1;0;5;33;52;44;Cardiff City
Jack Wilshere;27;Midfielder;389;England;0;1;8;33;52;43;West Ham United
Mohamed Elneny;27;Midfielder;381;Egypt;0;0;4;33;51;44;Arsenal
Jason Puncheon;33;Midfielder;391;England;0;0;8;33;51;43;Huddersfield Town
Paulo Gazzaniga;27;Goalkeeper;270;Argentina;0;0;1;33;51;48;Tottenham Hotspur
Stephen Ward;34;Defender;230;Republic of Ireland;0;0;6;33;51;51;Burnley
